Year,Week,State,TotalCases,Duration
2010,9,Johor,103,55.57142857142857
2010,9,NSembilan,34,35.0
2010,9,Pahang,22,33.0
2010,9,Penang,6,37.0
2010,9,Sarawak,85,72.8
2010,9,Selangor,905,52.31707317073171
2010,9,Terengganu,36,33.0
2010,9,WPKL,149,44.2
2010,10,Johor,113,55.714285714285715
2010,10,NSembilan,30,37.25
2010,10,Pahang,22,40.0
2010,10,Perak,7,33.0
2010,10,Sarawak,85,90.0
2010,10,Selangor,601,53.88235294117647
2010,10,Terengganu,52,38.0
2010,10,WPKL,164,50.77777777777778
2010,11,Johor,113,60.42857142857143
2010,11,NSembilan,24,45.333333333333336
2010,11,Pahang,31,39.5
2010,11,Sarawak,87,97.0
2010,11,Selangor,289,43.7
2010,11,Terengganu,52,45.0
2010,11,WPKL,428,59.473684210526315
2010,12,Johor,86,68.5
2010,12,NSembilan,7,48.0
2010,12,Pahang,33,46.5
2010,12,Sarawak,93,89.8
2010,12,Selangor,640,49.75675675675676
2010,12,WPKL,212,53.45454545454545
2010,13,Johor,72,83.33333333333333
2010,13,Pahang,38,46.0
2010,13,Sarawak,33,115.5
2010,13,Selangor,563,55.964285714285715
2010,13,WPKL,245,50.07142857142857
2010,14,Johor,93,59.5
2010,14,Pahang,7,35.0
2010,14,Selangor,418,54.72
2010,14,WPKL,243,60.72727272727273
2010,15,Johor,71,70.33333333333333
2010,15,Pahang,15,34.5
2010,15,Selangor,376,52.38095238095238
2010,15,WPKL,240,60.25
2010,16,Johor,20,38.0
2010,16,Pahang,12,45.0
2010,16,Sarawak,4,33.0
2010,16,Selangor,394,53.095238095238095
2010,16,WPKL,114,65.42857142857143
2010,17,Johor,24,40.0
2010,17,Pahang,12,45.0
2010,17,Selangor,373,49.857142857142854
2010,17,WPKL,110,60.142857142857146
2010,18,Johor,18,37.0
2010,18,NSembilan,16,31.0
2010,18,Pahang,8,31.0
2010,18,Selangor,344,50.31578947368421
2010,18,WPKL,145,54.0
2010,19,Johor,31,35.0
2010,19,NSembilan,33,37.0
2010,19,Pahang,19,35.0
2010,19,Selangor,318,47.55555555555556
2010,19,WPKL,108,45.5
2010,20,Johor,33,42.0
2010,20,NSembilan,34,44.0
2010,20,Pahang,11,39.0
2010,20,Selangor,265,44.526315789473685
2010,20,WPKL,92,47.875
2010,21,Johor,23,44.5
2010,21,NSembilan,16,49.0
2010,21,Sabah,10,32.0
2010,21,Selangor,249,50.857142857142854
2010,21,WPKL,83,53.166666666666664
2010,22,Johor,31,44.333333333333336
2010,22,NSembilan,19,55.0
2010,22,Selangor,260,50.93333333333333
2010,22,WPKL,65,50.0
2010,23,Johor,30,58.5
2010,23,Kelantan,12,34.0
2010,23,NSembilan,19,62.0
2010,23,Selangor,287,52.2
2010,23,WPKL,43,56.666666666666664
2010,24,Johor,31,41.666666666666664
2010,24,Kelantan,13,41.0
2010,24,Selangor,278,48.625
2010,24,WPKL,44,46.0
2010,25,Johor,93,41.333333333333336
2010,25,Kelantan,13,48.0
2010,25,NSembilan,10,31.0
2010,25,Pahang,21,36.0
2010,25,Sarawak,4,31.0
2010,25,Selangor,286,51.13333333333333
2010,25,WPKL,29,57.0
2010,26,Johor,136,49.25
2010,26,Kelantan,12,34.0
2010,26,NSembilan,10,38.0
2010,26,Pahang,21,43.0
2010,26,Perak,7,34.0
2010,26,Sarawak,14,31.0
2010,26,Selangor,274,52.0
2010,26,WPKL,46,49.333333333333336
2010,27,Johor,136,59.166666666666664
2010,27,Kelantan,15,41.0
2010,27,NSembilan,8,35.0
2010,27,Pahang,8,30.0
2010,27,Perak,8,41.0
2010,27,Sarawak,29,34.5
2010,27,Selangor,314,54.6
2010,27,WPKL,19,40.0
2010,28,Johor,176,58.0
2010,28,Kelantan,27,40.0
2010,28,NSembilan,8,42.0
2010,28,Penang,27,34.0
2010,28,Perak,20,40.5
2010,28,Sarawak,57,37.75
