,Year,Week,State,TotalCases,Duration,Mature,Rain,Temp,API
159,2014,1,Selangor,2763,58.943548387096776,0.875,0.875,27.375,48.340625
161,2014,2,Selangor,2778,60.675,0.8571428571428571,0.7142857142857143,27.428571428571427,45.50595238095238
163,2014,3,Selangor,2697,62.044642857142854,0.7142857142857143,0.5714285714285714,27.285714285714285,39.44311377245509
165,2014,4,Selangor,2851,63.03448275862069,0.7142857142857143,0.14285714285714285,27.0,58.58443113772455
167,2014,5,Selangor,2855,67.37383177570094,0.5714285714285714,0.0,27.714285714285715,52.38333333333333
170,2014,6,Selangor,2890,69.22727272727273,0.14285714285714285,0.0,28.857142857142858,54.11547619047619
173,2014,7,Selangor,2660,70.87128712871286,0.0,0.7142857142857143,29.857142857142858,52.383233532934135
176,2014,8,Selangor,2505,69.30526315789474,0.0,0.2857142857142857,29.857142857142858,57.923809523809524
179,2014,9,Selangor,2648,72.33333333333333,0.7142857142857143,0.14285714285714285,29.857142857142858,64.87738095238095
183,2014,10,Selangor,1847,70.66666666666667,0.2857142857142857,0.2857142857142857,29.857142857142858,54.69642857142857
188,2014,11,Selangor,1789,70.47142857142858,0.14285714285714285,0.2857142857142857,29.714285714285715,103.80357142857143
193,2014,12,Selangor,1400,74.5,0.2857142857142857,0.7142857142857143,28.857142857142858,56.213095238095235
197,2014,13,Selangor,1324,75.84782608695652,0.2857142857142857,0.8571428571428571,29.857142857142858,57.42619047619048
202,2014,14,Selangor,899,73.15625,0.7142857142857143,0.8571428571428571,28.428571428571427,54.733333333333334
206,2014,15,Selangor,1146,77.73684210526316,0.8571428571428571,0.7142857142857143,29.0,49.635714285714286
208,2014,16,Selangor,1064,75.52941176470588,0.8571428571428571,0.7142857142857143,29.285714285714285,39.55357142857143
210,2014,17,Selangor,942,78.96551724137932,0.7142857142857143,0.8571428571428571,28.714285714285715,43.101190476190474
212,2014,18,Selangor,979,83.03571428571429,0.7142857142857143,1.0,29.714285714285715,46.955688622754494
215,2014,19,Selangor,919,72.2258064516129,0.8571428571428571,0.8571428571428571,29.285714285714285,44.75952380952381
219,2014,20,Selangor,804,61.21052631578947,1.0,0.7142857142857143,28.714285714285715,39.15357142857143
223,2014,21,Selangor,901,58.26190476190476,0.8571428571428571,0.8571428571428571,29.285714285714285,40.11666666666667
227,2014,22,Selangor,991,54.056603773584904,0.7142857142857143,0.8571428571428571,29.142857142857142,34.42261904761905
232,2014,23,Selangor,1157,63.36734693877551,0.8571428571428571,0.42857142857142855,29.428571428571427,45.94642857142857
237,2014,24,Selangor,1178,56.71666666666667,0.8571428571428571,0.2857142857142857,30.571428571428573,39.70952380952381
241,2014,25,Selangor,1070,53.52307692307692,0.42857142857142855,0.0,31.142857142857142,65.91666666666667
244,2014,26,Selangor,1176,54.108108108108105,0.2857142857142857,0.42857142857142855,30.714285714285715,75.67738095238096
248,2014,27,Selangor,1003,54.193548387096776,0.0,0.42857142857142855,30.0,45.232142857142854
251,2014,28,Selangor,794,51.333333333333336,0.42857142857142855,0.42857142857142855,29.571428571428573,45.65269461077844
257,2014,29,Selangor,1707,60.32258064516129,0.42857142857142855,0.0,30.571428571428573,62.96506024096386
262,2014,31,Selangor,1595,60.60674157303371,0.0,0.5714285714285714,29.142857142857142,73.63214285714285
266,2014,32,Selangor,1345,58.35897435897436,0.14285714285714285,0.5714285714285714,29.714285714285715,44.05833333333333
269,2014,33,Selangor,1557,58.74444444444445,0.5714285714285714,0.7142857142857143,27.857142857142858,33.535714285714285
271,2014,34,Selangor,1496,61.89473684210526,0.5714285714285714,0.5714285714285714,28.714285714285715,39.161904761904765
274,2014,35,Selangor,1291,61.5,0.7142857142857143,0.5714285714285714,28.571428571428573,35.03095238095238
277,2014,36,Selangor,1213,59.76470588235294,0.5714285714285714,0.7142857142857143,28.857142857142858,60.62738095238095
280,2014,37,Selangor,1154,67.65517241379311,0.5714285714285714,0.2857142857142857,28.285714285714285,50.90898203592814
284,2014,38,Selangor,1122,62.35087719298246,0.7142857142857143,0.7142857142857143,28.857142857142858,50.641666666666666
289,2014,39,Selangor,1026,57.017857142857146,0.2857142857142857,0.8571428571428571,29.428571428571427,50.97125748502994
294,2014,40,Selangor,1067,53.35,0.7142857142857143,1.0,28.0,57.26428571428571
297,2014,41,Selangor,1184,55.96923076923077,0.8571428571428571,0.42857142857142855,29.285714285714285,52.34285714285714
302,2014,42,Selangor,1294,58.10294117647059,1.0,1.0,28.857142857142858,49.65595238095238
306,2014,43,Selangor,1513,57.714285714285715,0.42857142857142855,1.0,28.428571428571427,45.97844311377246
310,2014,44,Selangor,1507,58.036144578313255,1.0,0.8571428571428571,28.285714285714285,44.647619047619045
314,2014,45,Selangor,1821,61.561797752808985,1.0,0.8571428571428571,28.428571428571427,53.032335329341315
319,2014,46,Selangor,1937,59.77,0.8571428571428571,1.0,28.428571428571427,42.62976190476191
322,2014,47,Selangor,2086,62.42857142857143,0.8571428571428571,0.7142857142857143,28.571428571428573,40.45
325,2014,48,Selangor,2269,60.11206896551724,1.0,1.0,28.0,33.27023809523809
327,2014,49,Selangor,2442,62.44915254237288,0.7142857142857143,0.7142857142857143,28.428571428571427,52.43928571428572
330,2014,50,Selangor,2687,58.77372262773723,1.0,1.0,28.714285714285715,50.21190476190476
333,2014,51,Selangor,2937,59.58741258741259,0.7142857142857143,0.7142857142857143,28.142857142857142,42.339285714285715
337,2014,52,Selangor,2980,61.01418439716312,1.0,1.0,27.285714285714285,32.80952380952381
